tag,name,rating_data,rating,reviewer,id,rater,on_dbg,imported_from_excel,last_update,created_at,countries,plaid_items,reviewed_date,rated_date,asset_value,status,summary,full_summary,website_staging,methodology
abn_amro,ABN AMRO,"{""pcaf"": true, ""notes"": """", ""scope1"": 0, ""scope2"": 0, ""scope3"": 0, ""isBCorp"": false, ""lobbying"": false, ""ff_percent"": 0.0023, ""gabvMember"": false, ""re_percent"": 0.1, ""loanBalance"": 102311525249, ""tcfdAligned"": false, ""lendingNotes"": ""FF lending ration is available 0,23% but not renewable energy ratio. However, ABN AMRO does report its Green Asset Ratio voluntarily (thus the official template with the activity breakdown is not available, will be as of Jan 2024) the GAR is 10%.\n\n98.190.000.000,00 EUR in loans and advances to clients in 2023 exchange rate of, USD Computed by taking 1 Euro equals 1.04 United States Dollar (exchange rate as of 26.12.2024)\n\nAlso see page 55 of the Climate Strategy report - 2030 goal of FF is EUR1bn and RE target in 2025 is EUR4bn"", ""sweetOrSpicy"": """", ""hasToxicBonds"": true, ""lobbyingNotes"": ""<p><br></p><p>The organization itself did not donate, rather the money came from the organization's individual members or employees or owners, and those individuals' immediate family members.</p><p>Open secrets notes that there have been a total of $3,984 contributinos in 2024 but absence of lobbying expenditures. Therefore, market as No.</p>"", ""emissionsNotes"": ""Estimate of client scope 3 emissions depent on envirnomentally extended input-output emissions factors. Limited to upstream scope 3 only.\npage 27  \nhttps://downloads.ctfassets.net/1u811bvgvthc/1ct3rr0164d6Vt5YuVrWqe/9d077ade80674aa3b6123872c7bc176d/ABN_AMRO___Integrated_Annual_Report_2023_ww.pdf\n\n\n\n"", ""exclusionPolicy"": ""RF<=5"", ""onExpansionList"": false, ""hasEmissionsData"": true, ""noDataBaseRating"": ""21"", ""greenLendingNotes"": ""Sustainability-linked loans (EUR 3.8 billion) used to incentive clients. Also, the climate straegy mentions that they are amending policies to allow for more flexible credit structuring conditions, transition loans, green loans and other financing solutions to enable clients to invest in sustainability measures. "", ""lendingRatioScore"": 61, ""hasEmissionsReport"": true, ""hasReductionTarget"": true, ""relationshipsNotes"": ""Conducts business with its own entities (subsidiaries and major participations) as opposed to third parties. The bank has many subsidiaries and branches across regions and sectors. Vast majority have \""ABN AMRO\"" in their legal entity name. see page 445 of the annual report. These entities are not on bank-green rating list."", ""largeCompanyLending"": true, ""badBankRelationships"": false, ""boardLevelGovernance"": true, ""exclusionPolicyNotes"": ""Oil & gas:\nhttps://assets.ctfassets.net/1u811bvgvthc/3U3NCT8MANVUu7VrvomXaK/23f580e61229881f5e37d3ee54bad452/Summary_2022_-_Oil___Gas_Sustainability_Requirements.pdf\n\nThey do have a climate risk heatmap that assess both transition and physical risks. ABN AMRO also has a Client Assessment of Sustainability Tool (CASY) for all clients active in sectors classified as high risk. \n\nReclaim Finance:\nCoal expansion score - 3\nOil expansion score - 0\nAverage < 5\n"", ""reductionTargetNotes"": ""Climate strategy is designed to achieve our goal of bringing our portfolio in line with a 1.5 C max global warming scenario and supporting the transition to a net zero economy in the years to 2050. \n\nIn 2022, targets were set for five sectors: residential mortgages, commercial real estate, oil and gas, power generation and shipping. In 2023 set targets for inland shipping and agriculture. They intend to communicate targets for all carbon-intensive sectors (agriculture, cement, coal, commercial and residential real estate, iron and steel, oil and gas, power generation and transport) (source: Page 243 of the annual report)\n\n68% of total loans and advances and 25% of corporate loans are in scope for their climate strategy. Which sets  2030 reduction targets for residential mortgages, commercial real estate, power generation, oil and gas upstream, shipping, inland shipping and agriculture. \n\nClimate Strategy and Targets: https://assets.ctfassets.net/1u811bvgvthc/7Akmf4sIo5WrZNxiMYY0hV/f0225f443b9812808b26d208bc1a2755/ABN_AMRO_____2022_Climate_Strategy___Targets.pdf\n\nSee page 55 of the Climate Strategy report - 2030 goal of FF is EUR1bn and RE target in 2025 is EUR4bn"", ""climateGovernanceNotes"": ""Executive Board is responsible for defining the banks overall strategy, including oversight of ESG. There is a Group Sustainability Committee chaired by the CEO. There is also a Supervisory Sustainability Committee in 2023. \nNot explicitly TCFD aligned but has applied the framework to give insight into climate risk and opportunities. \n"", ""hasGreenLendingProducts"": true}",71,Katherine,2,Lidia Callejo,t,f,2025-01-15 21:23:35.34789+00,2024-09-12 06:58:12.566+00,NL,0,2024-12-27,2024-12-15,0,Complete,,<p><br></p>,"{""rating"": ""good"", ""headline"": """", ""our_take"": """", ""top_pick"": false, ""description1"": ""<p>ABN AMRO has made significant loans to the fossil fuel industry but has outlined a clear transition plan to reduce such financing and increase support for renewable energy initiatives moving forward.</p>"", ""description2"": ""<p>The bank has assessed the greenhouse gas emissions associated with its lending, set ambitious climate targets, and offers a range of \""green\"" financial products. However, ABN AMRO should strengthen its exclusion policy to comprehensively cover all forms of fossil fuel expansion. Additionally, we urge the bank to divest from its investment in a Glencore bond to further align its portfolio with climate goals.</p>"", ""description3"": """", ""display_on_website"": true, ""fossil_free_alliance"": false, ""show_on_sustainable_banks_page"": false}",2024
absa_bank_limited,Absa Group,"{""pcaf"": true, ""notes"": """", ""isBCorp"": false, ""lobbying"": false, ""bondsNotes"": ""The bank has no toxic bonds but I forced this to acknowledge that by increasing the financing limit for oil and gas, they are essentially funding expansion"", ""ff_percent"": 0.00012, ""gabvMember"": false, ""re_percent"": 0.0002, ""loanBalance"": 0, ""tcfdAligned"": true, ""lendingNotes"": ""\""Leading industry expertise in renewable energy\"" (page 7 of the IR)\n\""Absa proudly stands as a leader in Africa for renewable energy financing, driving the continent’s transition to a sustainable future. We supported and invested in various clean energy projects, including acting as the mandated lead arranger and financer of three wind energy projects worth R12 billion. We advanced R32.5 billion in green sustainable finance in 2023, maintaining the momentum from the previous year and bringing our total to R84.1 billion in sustainability-linked financing since January 2021\""\n\nDrawn exposure on RE financing - R28 billion (page 39 of the Climate Report) - 0.02%\nFF financing - R16.1 (page 34 of the Climate Report) - 0.012%\nThe limit on FF financing is R28.2 billion\n\nTotal loans and advances: R1,321 billion\n\nWe do not give points for the vague \""Sustainability-linked financing\"". We also do not give points for ESG bonds and loans issued by the bank."", ""sweetOrSpicy"": """", ""hasToxicBonds"": true, ""lobbyingNotes"": """", ""emissionsNotes"": ""During 2023, we further defined our approach and methodology for quantifying emissions linked to our financing activities. These emissions are crucial to understand as they constitute a significant portion of the bank’s total greenhouse gas emissions (page 65 of IR)"", ""exclusionPolicy"": ""RF<=5"", ""onExpansionList"": false, ""hasEmissionsData"": true, ""noDataBaseRating"": ""21"", ""greenLendingNotes"": ""Financing of 318 solar projects for R1.1 billion in Retail"", ""hasLongTermTarget"": true, ""lendingRatioScore"": 61, ""hasEmissionsReport"": true, ""hasReductionTarget"": true, ""relationshipsNotes"": """", ""largeCompanyLending"": true, ""targetValidatedSbti"": false, ""badBankRelationships"": false, ""boardLevelGovernance"": true, ""exclusionPolicyNotes"": ""Sustainability risk policy is on page 30 of the IR\nRF: coal - 0 \nRF - oil and gas - not on the list (doesn’t exist)"", ""reductionTargetNotes"": ""During 2023, we developed initial emission reduction targets for our lending portfolio in the fossil fuel sectors, including thermal coal and oil and gas. We plan to expand methodologies\nfor other sectors in the near future for consistent application.\n\n80% of our R100 billion sustainable finance goal for 2025 - short-term goal"", ""climateGovernanceNotes"": """", ""hasGreenLendingProducts"": true}",79,,12,Katherine,t,f,2025-03-01 17:23:10.644119+00,2024-09-12 06:58:12.566+00,ZA,0,,2025-03-01,0,Complete,,,"{""rating"": ""good"", ""headline"": """", ""our_take"": """", ""top_pick"": false, ""description1"": ""<p>The bank finances more renewable energy projects than fossil fuel projects. It offers \""green\"" consumer products and has high levels of governance over climate risks and opportunities. It has comprehensively measured its greenhouse emissions and set robust emission reduction targets. </p>"", ""description2"": ""<p>However, we are discouraged to see that between 2022 and 2023 it increased the level of credit available for drawdown by oil &amp; gas companies. Not all of it can be explained by foreign currency movements (rationale provided by the bank). We are also disappointed to see how weak the bank's exclusion policies are. </p>"", ""description3"": """", ""display_on_website"": true, ""fossil_free_alliance"": false, ""show_on_sustainable_banks_page"": false}",2024
access_bank,Access Bank,"{""pcaf"": false, ""notes"": """", ""isBCorp"": false, ""lobbying"": false, ""bondsNotes"": ""<p>undefined</p>"", ""ff_percent"": 0.18, ""gabvMember"": false, ""re_percent"": 0.06, ""loanBalance"": 0, ""tcfdAligned"": true, ""lendingNotes"": ""Sustainability report pg 79: Our green financing products offer preferential terms for renewable energy projects, helping to accelerate the broader shift away from fossil fuels in the communities we serve.\n\nSustainability report pg 31: The bank has disbursed a total of N27.26 billion of our Green Bond Proceeds to eligible green projects, but is not divided by year, since they have been given green loans from 2019, I divided the total in 5 years, which give me $545,200 per year. (6%). In other words, assumed a steady level of repayment\n\nAnnual report (page 220) showed that the gas & oil loans was 1,462,000 from total loans 8,194,213 in millions of Naira. (18%)\n\n\""Sustainable projects\"" is not defined"", ""sweetOrSpicy"": """", ""hasToxicBonds"": false, ""lobbyingNotes"": ""<p><br></p>"", ""emissionsNotes"": ""In the sustainability report (pg 103) is explained that the Partial Scope 3 emissions is 53,574 tCO2 e, but this is for suppliers and other stakeholders.\nIn the sustainability report (pg 81) is explained \""Access Bank is a core member of Partnership for Carbon Accounting Financials (PCAF) – a global carbon accounting platform committed to shaping the climate action of financial institutions. PCAF helped the bank to identify our highest carbon impact loans.\"""", ""exclusionPolicy"": false, ""onExpansionList"": false, ""hasEmissionsData"": true, ""noDataBaseRating"": ""21"", ""greenLendingNotes"": ""Check green bond report. Also in the sustainability report pg 77 is explained: \""To demonstrate our responsibility for natural environmental protection by reducing the GHG emissions from our operations and enabling other stakeholders to also reduce their carbon footprint, Access Bank is providing access to sustainable financing tools like green loans. This is apart from our Green Bond Programme through which we are raising capital to fund renewable and other green projects in line with the Climate Bonds Initiative (CBI) Taxonomy.\""\n\nReview comment: this is already taken into account in the RE/FF ratio. Here, we are looking for evidence of consumer products. We are not interested in the bank itself issuing bonds, we are interested in the use of proceeds."", ""hasLongTermTarget"": true, ""lendingRatioScore"": 1, ""hasEmissionsReport"": false, ""hasReductionTarget"": true, ""relationshipsNotes"": ""Correspondent banking: Access Bank has correspondent banking relationships with international banks, such as Citibank, JP Morgan, and HSBC Bank PLC. Check on https://www.accessbankplc.com/corporate/products-services/global-trade-services. ***Please verify if this counts as bad bank relationships***\n\nKM review: no, all large banks will have correspondent banks. We are concerned about our bank depositing large amounts with another bank."", ""largeCompanyLending"": true, ""targetValidatedSbti"": false, ""badBankRelationships"": false, ""boardLevelGovernance"": true, ""exclusionPolicyNotes"": ""In sustainability report pg 58 is explained: \""Access Bank is licensed for global banking services and acclaimed for its extensive financial product range. Our primary business divisions encompass Corporate and Investment Banking, Commercial Banking, Business Banking, and Retail Banking. Our clientele spans Telecommunications, Beverages, Manufacturing, Construction, Oil & Gas, Parastatals, High Net Worth Individuals, Middle-Income Professionals, and inclusive finance users.\"" Also at pg 74 is explained that a Gas & Oil proyect have been financed this year."", ""reductionTargetNotes"": ""Sustainability report pg 60"", ""climateGovernanceNotes"": ""The roles and responsibilities of the Board on sustainability are listed in the sustainability report pg 18. At pg 57 is confirmed that the bank aligns with TCFD."", ""hasGreenLendingProducts"": false}",16,Katherine,13,Viviana,t,f,2025-03-02 13:35:43.774582+00,2024-09-12 06:58:12.566+00,NG,0,2024-12-02,2024-12-02,0,Complete,,,"{""rating"": ""worst"", ""headline"": """", ""our_take"": """", ""top_pick"": false, ""description1"": ""<p>Access is a major funder of fossil fuels. It does also fund renewable energy but those amounts pale in comparison.</p>"", ""description2"": ""<p>We would like to see Access disclose the greenhouse gas emissions enabled by its lending and set sector-specific targets to reduce those emissions.</p><p><span style=\""color: rgb(13, 13, 13);\"">We would also like to see it set a policy that it will not fund new fossil fuel projects.</span></p>"", ""description3"": """", ""display_on_website"": true, ""fossil_free_alliance"": false, ""show_on_sustainable_banks_page"": false}",2024
african_bank,African Bank Limited,"{""pcaf"": false, ""notes"": """", ""isBCorp"": false, ""lobbying"": false, ""bondsNotes"": ""<p>undefined</p>"", ""ff_percent"": 0, ""gabvMember"": false, ""re_percent"": 0, ""loanBalance"": 0, ""tcfdAligned"": false, ""lendingNotes"": ""Page 84 of the annual report states that \""Mining and quarrying\"" and \""Electricity, gas and water supply\"" constitute 1% of the lending portfolio and \""other\"" 10%. We cannot rule out fossil fuel financing. "", ""sweetOrSpicy"": """", ""hasToxicBonds"": false, ""lobbyingNotes"": ""<p>undefined</p>"", ""emissionsNotes"": ""ESG Report (pg 43): 'In FY22 we launched our carbon and energy management programme to monitor our energy consumption and to determine our carbon emissions, improve our carbon footprint calculation and provide an annual verification of our carbon footprint. ' However, I couldn't find the report for this program or the disclosure of emissions."", ""exclusionPolicy"": false, ""onExpansionList"": false, ""hasEmissionsData"": false, ""noDataBaseRating"": ""21"", ""greenLendingNotes"": ""ESG Report (pg 30) is mention 'Collaboration with colleagues towards green bonds' as a risk, but this is not implemented."", ""hasLongTermTarget"": false, ""lendingRatioScore"": 21, ""hasEmissionsReport"": false, ""hasReductionTarget"": true, ""relationshipsNotes"": ""African Bank has a number of relationships with other banks, including:\nGrindrod Bank: African Bank incorporated Grindrod Bank's business into its own, and Grindrod Bank's banking license was canceled on August 1, 2024. \nUBank: African Bank acquired UBank's assets and liabilities in a deal worth R80 million. UBank is a financial services provider with a strong presence in rural and mining communities. \nMMI: African Bank has an exclusive partnership with MMI as its insurance partner. This partnership is an extension of an existing relationship with Guardrisk, a subsidiary of MMI. \nBanks haven't been rated yet.\n\nSee relationships on page 16 of the ESD report"", ""largeCompanyLending"": true, ""targetValidatedSbti"": false, ""badBankRelationships"": false, ""boardLevelGovernance"": true, ""exclusionPolicyNotes"": """", ""reductionTargetNotes"": ""Emissions reductions targets are set to 2025"", ""climateGovernanceNotes"": ""ESG Report (pg 89): 'Below is an explanation of how the Sustainability, Ethics, and Transformation Committee adding value to the organisation. The Committee performs the role of a social and ethics committee as contemplated and explained in the Companies Act. • Oversees  ESG reporting. • Monitors and evaluates the ethical practices of African Bank, our executives, and senior management . • Review any statements or requirements on ethical standards. • Directs the Group's social, ethical, economic, environmental, transformation, and consumer relationship initiatives, in accordance relevant legislation, regulation, standards and codes. • Ensure that material stakeholder issues receive attention from the Board and management. • Monitor the ethical conduct of the executives senior management and review any statements on ethical standards or requirements. • Reviews and evaluates progress made in African Banks's overarching sustainability journey. The Committee focused on the ‘Excelerate25' strategy and its impact on sustainability considerations, as well as further stakeholder engagements related to the acquisitions. Below is a register of the board meeting attended by the Sustainability, Ethics and Transformation Committee.'"", ""hasGreenLendingProducts"": false}",28,Katherine,1002,Viviana,f,f,2025-03-02 13:57:43.683574+00,2024-10-26 18:28:01.571464+00,ZA,0,2024-11-16,2024-11-13,0,Complete,,,"{""rating"": ""bad"", ""headline"": """", ""our_take"": """", ""top_pick"": false, ""description1"": ""<p>African Bank Limited is not transparent about its lending activities, so we cannot rule out that it finances the fossil fuel industry. The absence of detailed greenhouse gas emissions reporting makes it difficult to assess its true environmental impact.&nbsp;</p>"", ""description2"": ""<p>We would like to see the bank:</p><ul><li>Disclose the extent of its financing of the fossil fuel sector</li><li>Introduce an explicit policy that it will not lend to fossil fuel companies or projects</li><li><span style=\""color: rgb(13, 13, 13);\"">Start financing renewable energy companies and projects</span></li></ul>"", ""description3"": ""<p>It needs to measure greenhouse gas emissions enabled by its lending and set science-based climate targets over those emissions.</p>"", ""display_on_website"": true, ""fossil_free_alliance"": false, ""show_on_sustainable_banks_page"": false}",2024
aion,Aion,"{""pcaf"": false, ""isBCorp"": false, ""lobbying"": false, ""gabvMember"": false, ""tcfdAligned"": false, ""REFFsubscore"": 21, ""hasToxicBonds"": false, ""emissionsMethod"": 2, ""exclusionPolicy"": false, ""hasEmissionsData"": false, ""noDataBaseRating"": true, ""hasLongTermTarget"": false, ""lendingRatioScore"": true, ""hasEmissionsReport"": false, ""hasReductionTarget"": false, ""targetValidatedSbti"": false, ""REFFlendingSelection"": ""no disclosure"", ""badBankRelationships"": false, ""boardLevelGovernance"": false, ""hasGreenLendingProducts"": false, ""exclusionPolicyBelowThreshold"": null}",21,,21,Katherine,t,t,2024-09-12 06:57:48.277+00,2024-09-12 06:58:12.566+00,"BE, PL, SE",0,,,0,Complete,,,{},2024
al_rayan,Al Rayan Bank,"{""pcaf"": false, ""isBCorp"": false, ""lobbying"": false, ""gabvMember"": false, ""tcfdAligned"": false, ""REFFsubscore"": 1, ""hasToxicBonds"": false, ""emissionsMethod"": 2, ""exclusionPolicy"": false, ""hasEmissionsData"": false, ""noDataBaseRating"": true, ""hasLongTermTarget"": false, ""lendingRatioScore"": true, ""hasEmissionsReport"": false, ""hasReductionTarget"": false, ""targetValidatedSbti"": false, ""REFFlendingSelection"": ""RE / FF ratio < 50%"", ""badBankRelationships"": false, ""boardLevelGovernance"": true, ""hasGreenLendingProducts"": true, ""exclusionPolicyBelowThreshold"": null}",6,,24,Alia,t,t,2024-09-12 06:57:48.277+00,2024-09-12 06:58:12.566+00,GB,0,,,0,Complete,"Al Rayan Bank is a ~75% subsidiary of Masraf Al Rayan 
Masraf Al Rayan is a Qatar-based Islamic bank that provides banking, financial, investment and brokerage services across Qatar
Ultimate ownership structure","<h4>Background/business model</h4><p>Al Rayan Bank is a ~75% subsidiary of Masraf Al Rayan Masraf Al Rayan is a Qatar-based Islamic bank that provides banking, financial, investment and brokerage services across Qatar Ultimate ownership structure</p><h4>Lending data</h4><p>Bank provides no commercial lending (page 36 of 2022 UK annual report) Group provides commercial lending - $281M in 2022 Did not complete CDP questionnaire UK annual report Group annual report</p><h4>Emission data</h4><p>None found</p><h4>Exclusion policy</h4><p>""Best New Sustainable Financing Framework"" Only proceeds from green bonds will not be invested in oil & gas</p><h4>Proposed Prismic language</h4><p>Al Rayan Bank is a subsidiary of Masraf Al Rayan, a Qatar-based bank that provides banking, financial and investment services across Qatar. Masraf Al Rayan does not provide sufficient information on its lending activities and policies, so we have to assume that there is a high probability of it financing the fossil fuel sector. Al Rayan Bank claims to have achieved ""carbon neutrality"" and that is ""climate positive"". This claim is dubious for two reasons: - The bank is ignoring emissions it has enabled with its lending - ""Carbon neutrality"" is achieved by purchasing carbon offsets</p><h4>Lobbying</h4><p>None found on LobbyMap or F Minus</p><h4>Climate Targets</h4><p>Only carbon neutrality met with carbon offsets</p><h4>Governance over climate</h4><p>A few statements to that effect in the ESG report Not very descriptive Employee education None found</p><h4>Green products</h4><p>Green deposit <a href=""https://dohanews.co/masraf-al-rayan-launches-qatars-first-ever-green-deposit/"">(source)</a></p><h4>Banking relationships</h4><p>No</p><h4>Any other data</h4><p><a href=""https://dohanews.co/masraf-al-rayan-launches-qatars-first-ever-green-deposit/"">Greenwashing Offers green deposit while continuing to find oil & gas (source) Carbon neutrality nonsense</a></p><p><i>Imported from bank sheet data</i></p>",{},2024
alba_bank,Alba Bank Limited,"{""pcaf"": false, ""notes"": """", ""isBCorp"": false, ""lobbying"": false, ""bondsNotes"": ""No"", ""ff_percent"": 0, ""gabvMember"": false, ""re_percent"": 0, ""tcfdAligned"": false, ""lendingNotes"": "" None found Accounts"", ""sweetOrSpicy"": """", ""hasToxicBonds"": false, ""lobbyingNotes"": ""No info found"", ""emissionsNotes"": "" None found"", ""exclusionPolicy"": false, ""hasEmissionsData"": true, ""noDataBaseRating"": ""21"", ""greenLendingNotes"": "" None found"", ""hasLongTermTarget"": false, ""lendingRatioScore"": 61, ""hasEmissionsReport"": false, ""hasReductionTarget"": false, ""relationshipsNotes"": "" Uses RBS for its own banking needs No points deducted"", ""largeCompanyLending"": true, ""targetValidatedSbti"": false, ""badBankRelationships"": false, ""boardLevelGovernance"": false, ""exclusionPolicyNotes"": "" None found"", ""reductionTargetNotes"": "" None found"", ""climateGovernanceNotes"": "" None found"", ""hasGreenLendingProducts"": false, ""exclusionPolicyBelowThreshold"": null}",61,,26,Katherine,t,t,2024-10-25 23:37:52.661633+00,2024-09-12 06:58:12.566+00,GB,0,,,0,Complete,Specializes in SME customer banking,"<h4>Background/business model</h4><p>Specializes in SME customer banking</p><h4>Lending data</h4><p>None found Accounts</p><h4>Emission data</h4><p>None found</p><h4>Exclusion policy</h4><p>None found</p><h4>Proposed Prismic language</h4><p>Alba Bank is solely dedicated to small and medium-sized business lending. As it does not have a publicly available lending policy, we cannot rule out that it lends to companies engaged in the fossil fuel sector. We would like to see the bank measure and disclose its impact and introduce ""green"" lending products.</p><h4>Lobbying</h4><p>No info found</p><h4>Climate Targets</h4><p>None found</p><h4>Governance over climate</h4><p>None found</p><h4>Toxic bonds</h4><p>No</p><h4>Green products</h4><p>None found</p><h4>Banking relationships</h4><p>Uses RBS for its own banking needs No points deducted</p><h4>Any other data</h4><p>None found</p><h4>Greenwashing</h4><p>""As a responsible lender, Alba will apply open and transparent Environmental, Social & Governance (ESG) principles to its business"" - no detail provide</p><p><i>Imported from bank sheet data</i></p>",{},2024
alex_bank,Alex Bank,"{""pcaf"": false, ""notes"": """", ""scope1"": 0, ""scope2"": 0, ""scope3"": 0, ""isBCorp"": false, ""lobbying"": false, ""ff_percent"": 0, ""gabvMember"": false, ""re_percent"": 0, ""loanBalance"": 0, ""lendingNotes"": """", ""sweetOrSpicy"": """", ""hasToxicBonds"": false, ""lobbyingNotes"": ""<p><br></p>"", ""emissionsNotes"": """", ""exclusionPolicy"": false, ""onExpansionList"": false, ""noDataBaseRating"": ""21"", ""greenLendingNotes"": ""Green loans"", ""lendingRatioScore"": 41, ""hasEmissionsReport"": false, ""hasReductionTarget"": false, ""relationshipsNotes"": """", ""largeCompanyLending"": false, ""badBankRelationships"": false, ""boardLevelGovernance"": false, ""exclusionPolicyNotes"": """", ""reductionTargetNotes"": """", ""climateGovernanceNotes"": """", ""hasGreenLendingProducts"": true}",44,Katherine,1039,Kanika,f,f,2024-12-13 01:51:22.995348+00,2024-11-30 18:18:50.401979+00,,0,2024-12-12,2024-12-12,0,Complete,,,"{""rating"": ""ok"", ""headline"": """", ""our_take"": """", ""top_pick"": false, ""description1"": ""<p>Alex Bank lends to individuals only, so your money won't be directly funding the fossil fuel industry.</p><p>The bank also offer \""green\"" loans, which is a great first step towards sustainability!</p><p>We would like&nbsp;Alex&nbsp;<span style=\""color: rgb(13, 13, 13);\"">Bank to become more climate responsible:</span></p><ul><li><span style=\""color: rgb(13, 13, 13);\"">Measure and disclose&nbsp;</span>greenhouse gas emissions enabled by its lending and has set targets</li><li>Put in place a policy stating that it will not provide any indirect financing to fossil fuel companies and projects</li></ul>"", ""description2"": """", ""description3"": """", ""display_on_website"": true, ""fossil_free_alliance"": false, ""show_on_sustainable_banks_page"": false}",2024
algbra,Algbra,"{""pcaf"": false, ""notes"": """", ""isBCorp"": true, ""lobbying"": false, ""bondsNotes"": """", ""ff_percent"": 0, ""gabvMember"": false, ""re_percent"": 0, ""loanBalance"": 0, ""tcfdAligned"": false, ""lendingNotes"": """", ""sweetOrSpicy"": """", ""hasToxicBonds"": false, ""lobbyingNotes"": """", ""emissionsNotes"": """", ""exclusionPolicy"": true, ""hasEmissionsData"": true, ""noDataBaseRating"": ""21"", ""greenLendingNotes"": """", ""hasLongTermTarget"": false, ""lendingRatioScore"": 41, ""hasEmissionsReport"": false, ""hasReductionTarget"": false, ""relationshipsNotes"": """", ""targetValidatedSbti"": false, ""badBankRelationships"": false, ""boardLevelGovernance"": false, ""exclusionPolicyNotes"": """", ""reductionTargetNotes"": """", ""climateGovernanceNotes"": """", ""hasGreenLendingProducts"": false, ""exclusionPolicyBelowThreshold"": null}",61,,29,Katherine,t,t,2025-03-07 00:19:26.960022+00,2024-09-12 06:58:12.566+00,GB,0,,,0,Complete,,,"{""rating"": ""good"", ""headline"": """", ""our_take"": """", ""top_pick"": false, ""description1"": """", ""description2"": """", ""description3"": """", ""display_on_website"": true, ""fossil_free_alliance"": false, ""show_on_sustainable_banks_page"": true}",2024
alliance__leicester_santander,Alliance & Leicester,"{""pcaf"": false, ""isBCorp"": false, ""lobbying"": false, ""gabvMember"": false, ""tcfdAligned"": false, ""REFFsubscore"": 0, ""hasToxicBonds"": false, ""emissionsMethod"": 2, ""exclusionPolicy"": false, ""hasEmissionsData"": false, ""noDataBaseRating"": true, ""hasLongTermTarget"": false, ""lendingRatioScore"": false, ""hasEmissionsReport"": false, ""hasReductionTarget"": false, ""targetValidatedSbti"": false, ""REFFlendingSelection"": """", ""badBankRelationships"": false, ""boardLevelGovernance"": false, ""hasGreenLendingProducts"": false, ""exclusionPolicyBelowThreshold"": null}",0,,30,Katherine,t,t,2024-09-12 06:57:48.277+00,2024-09-12 06:58:12.566+00,GB,0,,,0,Complete,,,{},2024
allica_bank,Allica Bank,"{""pcaf"": true, ""notes"": """", ""isBCorp"": false, ""lobbying"": false, ""bondsNotes"": """", ""ff_percent"": 0, ""gabvMember"": false, ""re_percent"": 0, ""loanBalance"": 0, ""tcfdAligned"": false, ""lendingNotes"": ""Sectoral breakdown of lending is on page 139 of the AR. There is no Energy and Other is limited to 2.5%"", ""sweetOrSpicy"": """", ""hasToxicBonds"": false, ""lobbyingNotes"": """", ""emissionsNotes"": ""Page 44 and 45"", ""exclusionPolicy"": true, ""onExpansionList"": false, ""hasEmissionsData"": true, ""noDataBaseRating"": ""21"", ""greenLendingNotes"": ""They pioneered green commercial mortgages:\n\nhttps://www.allica.bank/press-releases/allica-bank-slashes-commercial-mortgage-rates-to-challenge-high-street-and-introduces-energy-efficiency-incentive\n\n"", ""hasLongTermTarget"": false, ""lendingRatioScore"": 41, ""hasEmissionsReport"": true, ""hasReductionTarget"": true, ""relationshipsNotes"": """", ""largeCompanyLending"": ""small"", ""targetValidatedSbti"": false, ""badBankRelationships"": false, ""boardLevelGovernance"": true, ""exclusionPolicyNotes"": ""Evidence: \nhttps://www.allica.bank/our-ethics-statement\n\nAlso this statement from the bank:\nhttps://moneymovement.sharepoint.com/sites/allcompany/BankGreen%20Documents%20Library/Forms/AllItems.aspx?id=%2Fsites%2Fallcompany%2FBankGreen%20Documents%20Library%2F%5FDept%20Research%2F%5FTeam%20%2D%20Ratings%2FBanks%20%28EMEA%29%2FBanks%20%28UK%29%2FAllica%2F2023%2FRE%5F%20Incorrect%20information%20%2D%20Katherine%20Markova%20%2D%20Outlook%20%281%29%2Epdf&parent=%2Fsites%2Fallcompany%2FBankGreen%20Documents%20Library%2F%5FDept%20Research%2F%5FTeam%20%2D%20Ratings%2FBanks%20%28EMEA%29%2FBanks%20%28UK%29%2FAllica%2F2023"", ""reductionTargetNotes"": ""Net Zero by 2050 only"", ""climateGovernanceNotes"": """", ""hasGreenLendingProducts"": true, ""exclusionPolicyBelowThreshold"": null}",76,Katherine,34,Zak,t,t,2025-04-20 21:18:55.603076+00,2024-09-12 06:58:12.566+00,GB,0,2025-04-20,2025-04-18,0,Complete,,,"{""rating"": ""good"", ""headline"": """", ""our_take"": """", ""top_pick"": false, ""description1"": ""<p>Allica provides banking services to individuals and small and medium-sized businesses. It does not provide financing to the fossil fuel industry. <span style=\""color: rgb(13, 13, 13);\"">It offers preferential commercial mortgage rates for energy efficient homes. </span></p>"", ""description2"": ""<p>The bank has measured greenhouse gas emissions enabled by its lending and set a Net Zero target. We would like to see it set an interim/near-term target too. And we'd like to see it explicitly state that it will not finance the fossil fuel industry.  </p>"", ""description3"": """", ""last_reviewed"": ""2025-04-20"", ""display_on_website"": true, ""fossil_free_alliance"": false, ""show_on_sustainable_banks_page"": true}",2024
